"date","pressure_average(hPa)","pressure_sea_level(hPa)","precipitation_sum(mm)","precipitation_max_1hour(mm)","precipitation_max_10minutes(mm)","temperature_average(℃)","temperature_max(℃)","temperature_min(℃)","humidity_average(%)","humidity_min(%)","wind_average_speed(m/s)","wind_max_speed(m/s)","wind_max_speed_direction(m/s)","wind_max_instantaneous_speed(m/s)","wind_max_instantaneous_direction(m/s)","sunshine_duration_(h)","snow_fall(cm)","snow_depth(cm)","weatherdaytime (06:00-18:00)","weathernighttime (18:00-06:00)","block_no","Source_Sheet"
2022-07-11,1009.1,1010.5,0,0,0,18,21.6,15.6,91,80,2.9,6.1,"東北東",7.9,"東北東",9.7,0,0,"晴後一時曇","曇","47401","47401_2022_7"
2022-07-12,1010.2,1011.6,0,0,0,18.5,21.4,16.4,92,81,1.8,4.2,"北",6.1,"北",2.6,0,0,"曇後時々雨","雨時々曇","47401","47401_2022_7"
2022-07-13,1010.4,1011.8,0,0,0,17.1,19,15.4,94,89,3.3,5.3,"東北東",7.4,"東南東",0.2,0,0,"曇時々雨","曇時々雨","47401","47401_2022_7"
2022-07-14,1009.3,1010.7,0,0,0,15.2,16.4,14.3,93,87,5.3,8.1,"東",11.6,"東",0,0,0,"曇後時々雨","曇時々雨","47401","47401_2022_7"
2022-07-15,1008.6,1010,0,0,0,15.7,19.1,13.9,90,79,5.4,8.2,"東",12.9,"東",2.7,0,0,"曇一時晴","曇","47401","47401_2022_7"
2022-07-16,1009.5,1010.9,0,0,0,15.3,17.3,13.8,92,86,4.1,5.9,"東",8.6,"東",0.1,0,0,"曇","曇時々雨","47401","47401_2022_7"
2022-07-17,1003.9,1005.3,27.5,8,2,15.9,20.9,14.5,93,76,7.1,11.4,"北東",15.8,"東",1.6,0,0,"曇一時晴後雨","雨","47401","47401_2022_7"
2022-07-18,999.5,1000.9,2.5,2,1,17.1,19.7,14.6,88,77,4.5,9.4,"南西",13.9,"西",2.7,0,0,"曇時々雨一時晴","晴時々曇","47401","47401_2022_7"
2022-07-19,1002.5,1003.9,0,0,0,19.4,24.1,14.7,82,69,3,6.6,"東",9.2,"東南東",14,0,0,"晴","曇時々晴","47401","47401_2022_7"
2022-07-20,1004.7,1006.1,0,0,0,16.9,18.8,15.1,86,79,5.1,8,"東北東",9.9,"東北東",5,0,0,"曇後時々晴","曇時々雨一時晴","47401","47401_2022_7"
2022-07-21,1006,1007.4,0,0,0,17.5,20.2,14.5,84,74,4,5.8,"東",8.5,"東",10.3,0,0,"晴一時曇","曇時々晴","47401","47401_2022_7"
2022-07-22,1006.3,1007.7,0,0,0,17.7,21,16,85,72,5.1,8,"東北東",11,"東南東",4.9,0,0,"曇後晴","曇後時々雨","47401","47401_2022_7"
2022-07-23,1006.1,1007.5,1,0.5,0.5,15.9,17.1,15.3,95,88,6.5,9.2,"北東",11.2,"北東",0,0,0,"雨時々曇","雨","47401","47401_2022_7"
2022-07-24,1006.1,1007.5,2.5,1,0.5,17,20,15.2,95,84,3.4,10.4,"北東",11.9,"北東",0.3,0,0,"曇時々雨","曇一時雨","47401","47401_2022_7"
2022-07-25,1009.5,1010.9,0,0,0,18.9,20.8,17.8,86,78,2.1,4.6,"西南西",6.8,"南西",0,0,0,"曇","曇","47401","47401_2022_7"
2022-07-26,1009.7,1011.1,0,0,0,20.8,23.5,18.3,83,70,3.1,6.5,"南西",10,"南西",7.8,0,0,"曇時々晴","曇時々晴一時雨","47401","47401_2022_7"
2022-07-27,1011.1,1012.5,0,0,0,21.2,24.8,19.9,88,71,2.2,6.1,"西南西",8.3,"西南西",2.2,0,0,"曇一時雨","曇時々雨","47401","47401_2022_7"
2022-07-28,1014,1015.4,0,0,0,19.6,22.4,17.9,89,75,2.3,4.5,"北東",6.1,"北北西",6.4,0,0,"曇一時雨後晴","曇時々晴一時雨","47401","47401_2022_7"
2022-07-29,1014.7,1016.1,0,0,0,20.9,23,18,92,80,2.5,5,"南南西",9.3,"南西",0,0,0,"雨時々曇","曇一時雨","47401","47401_2022_7"
2022-07-30,1009.1,1010.4,0,0,0,23.1,25.3,21.4,87,74,7,10.4,"南南西",17.7,"南西",8.7,0,0,"晴時々曇一時雨","曇時々雨一時晴","47401","47401_2022_7"
2022-07-31,1007.8,1009.1,0,0,0,21.5,26.6,16.7,85,66,5.8,9.1,"南西",15.4,"南西",7.6,0,0,"晴時々曇","曇時々雨","47401","47401_2022_7"
2022-07-01,1014,1015,0,0,0,14.9,20,10.6,91,82,2.2,5.2,"西南西",9.8,"西",10.8,0,0,NA,NA,"47402","47402_2022_7"
2022-07-02,1009.6,1010.6,0,0,0,21.2,28.8,14.9,81,56,4.6,9.2,"西南西",14.6,"西南西",13,0,0,NA,NA,"47402","47402_2022_7"
2022-07-03,1004.2,1005.2,0,0,0,24.3,28.1,21.4,76,63,6.9,11.3,"西南西",17.2,"西",9.9,0,0,NA,NA,"47402","47402_2022_7"
2022-07-04,1006.5,1007.5,0,0,0,17,22.9,14.3,95,77,1.9,7.9,"西南西",11.7,"西南西",0.9,0,0,NA,NA,"47402","47402_2022_7"
2022-07-05,1010,1011,0.5,0.5,0.5,14.1,15.9,13.5,99,90,1.5,3.3,"北北東",4.2,"北北東",0.1,0,0,NA,NA,"47402","47402_2022_7"
2022-07-06,1012.8,1013.8,0,0,0,15.7,18,13.8,98,86,1.5,3.2,"南東",4.2,"南東",0.4,0,0,NA,NA,"47402","47402_2022_7"
2022-07-07,1012.9,1013.9,0,0,0,18,21.6,14.6,93,81,1.5,3.6,"北",4.6,"北",7.2,0,0,NA,NA,"47402","47402_2022_7"
2022-07-08,1010.3,1011.3,0,0,0,19.7,22.7,17.3,93,82,1.4,2.5,"西南西",4.2,"西南西",13.7,0,0,NA,NA,"47402","47402_2022_7"
2022-07-09,1008.9,1009.9,0,0,0,19.5,22.4,17.7,91,77,1.8,5.1,"南東",7.7,"南東",10.2,0,0,NA,NA,"47402","47402_2022_7"
2022-07-10,1007.9,1008.9,0,0,0,18,21,16.3,91,81,2,5.1,"東",7.1,"東",6.3,0,0,NA,NA,"47402","47402_2022_7"
2022-07-11,1009.7,1010.7,0,0,0,17.6,19.9,16.2,94,83,2.1,4.5,"北北東",6,"北",7.3,0,0,NA,NA,"47402","47402_2022_7"
2022-07-12,1010.9,1011.9,0,0,0,18,21.1,16.4,94,85,2.2,5.5,"北",6.8,"北",4.7,0,0,NA,NA,"47402","47402_2022_7"
2022-07-13,1011.1,1012.1,0,0,0,15.9,17.3,14.1,99,93,3.1,5.8,"北",7.3,"北",0,0,0,NA,NA,"47402","47402_2022_7"
2022-07-14,1010.4,1011.4,0.5,0.5,0.5,14.4,15.7,13.6,98,92,2.6,3.7,"東",5.6,"東",0,0,0,NA,NA,"47402","47402_2022_7"
2022-07-15,1009.5,1010.5,0.5,0.5,0.5,15,17.5,13.9,94,84,2.5,4.6,"東南東",6.4,"東南東",0,0,0,NA,NA,"47402","47402_2022_7"
2022-07-16,1009.8,1010.8,0,0,0,14.5,16.9,13.4,97,90,2.5,4.5,"北",5.9,"北",0.1,0,0,NA,NA,"47402","47402_2022_7"
2022-07-17,1004.3,1005.3,31,10,2.5,14.4,15.7,13.4,99,96,2.4,5.8,"東南東",8.3,"東南東",0,0,0,NA,NA,"47402","47402_2022_7"
2022-07-18,1000,1001,0,0,0,18.8,24.1,14.1,83,64,3.7,7.9,"南西",13.9,"南西",5.3,0,0,NA,NA,"47402","47402_2022_7"
2022-07-19,1003.9,1004.9,0,0,0,16.8,20.1,13.8,89,76,1.6,3.8,"南西",5.2,"南東",10.3,0,0,NA,NA,"47402","47402_2022_7"
2022-07-20,1005.5,1006.5,0.5,0.5,0.5,14.8,16.1,13.5,97,91,2.2,3.9,"東北東",5.4,"東北東",0,0,0,NA,NA,"47402","47402_2022_7"
2022-07-21,1006.3,1007.3,0,0,0,16.2,19.3,13.6,85,74,2,3.9,"南西",5.2,"南西",9.6,0,0,NA,NA,"47402","47402_2022_7"
2022-07-22,1006.9,1007.9,0,0,0,16.3,19.2,14.3,88,79,2.9,5.1,"東",6.7,"東",2.9,0,0,NA,NA,"47402","47402_2022_7"
2022-07-23,1006.6,1007.6,9.5,2.5,1,15.2,15.9,14.4,98,92,4,5.6,"北東",7.4,"東",0,0,0,NA,NA,"47402","47402_2022_7"
2022-07-24,1006,1007,5,3.5,2,16.5,18.7,14.8,97,87,3.6,8.2,"北",11.4,"北",0,0,0,NA,NA,"47402","47402_2022_7"
2022-07-25,1009.8,1010.8,0,0,0,18.2,21,16.4,93,81,1.4,3.1,"北北東",4,"北北東",4.3,0,0,NA,NA,"47402","47402_2022_7"
2022-07-26,1010.5,1011.5,0,0,0,18.4,21.1,16.7,94,84,1.8,3.9,"北",4.9,"南東",5.1,0,0,NA,NA,"47402","47402_2022_7"
2022-07-27,1011.6,1012.6,0,0,0,19.8,22.9,16.5,91,80,1.5,3.3,"南東",4.8,"南東",6.8,0,0,NA,NA,"47402","47402_2022_7"
2022-07-28,1014.5,1015.5,0,0,0,18,20.9,16.3,96,84,2.4,5.2,"北北西",7.7,"北北西",1.2,0,0,NA,NA,"47402","47402_2022_7"
2022-07-29,1015.5,1016.5,0,0,0,19,24.2,15.8,94,74,1.8,4.2,"西南西",6.5,"南西",1.8,0,0,NA,NA,"47402","47402_2022_7"
2022-07-30,1009.7,1010.6,0,0,0,25.3,30.8,19.1,72,49,5.3,11.1,"西南西",19.1,"西南西",13.5,0,0,NA,NA,"47402","47402_2022_7"
2022-07-31,1007.8,1008.8,0.5,0.5,0.5,22.3,30.6,15.7,84,58,5.9,12.1,"北北西",17.3,"北",5.1,0,0,NA,NA,"47402","47402_2022_7"
2022-07-01,998.4,1014.7,0,0,0,20.9,26.3,17.3,79,61,2.3,5.3,"西北西",7.3,"西",3.9,0,0,"曇後一時雨一時晴","曇時々晴","47407","47407_2022_7"
2022-07-02,995.8,1011.9,0,0,0,22.6,27,17.9,81,65,2.2,6.2,"西",8.6,"西",2.7,0,0,"曇","曇時々晴","47407","47407_2022_7"
2022-07-03,991,1006.8,0,0,0,26.2,31.7,19.9,72,54,3.2,7.9,"西",11,"西",10.5,0,0,"晴時々曇","曇時々晴","47407","47407_2022_7"
2022-07-04,990.8,1006.8,0,0,0,23.9,31.6,19.9,78,46,2.4,8,"南南東",11.9,"南南東",5.3,0,0,"曇時々晴一時雨、雷を伴う","曇時々雨","47407","47407_2022_7"
2022-07-05,992.6,1008.7,50,34,10,23.5,29.6,20.7,86,56,1.9,8.8,"南南東",12,"南南東",3.7,0,0,"曇後大雨時々晴、雷を伴う","雨後曇一時晴","47407","47407_2022_7"
2022-07-06,995.7,1011.7,0.5,0.5,0.5,24.8,30.3,21.1,77,53,2.4,7.1,"南南東",10.3,"南",5.9,0,0,"晴時々曇","曇時々雨","47407","47407_2022_7"
2022-07-07,997.2,1013.2,0,0,0,24.4,30.1,20.1,71,54,3,6,"西",8.7,"西",6.3,0,0,"晴時々曇","曇時々晴","47407","47407_2022_7"
2022-07-08,995,1011,0,0,0,24.1,30.6,18.6,71,48,2.8,6.7,"南南東",9.4,"南東",11.5,0,0,"晴","曇時々晴一時雨","47407","47407_2022_7"
2022-07-09,992.9,1009,0,0,0,22.8,29.4,17,71,47,3.8,8.1,"南南東",11.2,"南南東",6.7,0,0,"曇時々晴一時雨","曇後雨時々晴","47407","47407_2022_7"
2022-07-10,991,1007,0,0,0,23.5,29.5,19,76,58,2.5,8.2,"南南東",11.9,"南",4,0,0,"曇時々雨一時晴","晴一時曇","47407","47407_2022_7"
2022-07-11,993.6,1009.5,1.5,1.5,1.5,24.3,29.9,18.7,77,55,2.2,5.3,"南東",7.4,"西",6.8,0,0,"晴後曇時々雨","曇一時雨","47407","47407_2022_7"
2022-07-12,994.7,1010.6,1.5,1.5,1,25,30.8,20.7,79,55,2.3,6.2,"西南西",8.4,"西",6.2,0,0,"曇後時々雨、雷を伴う","曇時々雨","47407","47407_2022_7"
2022-07-13,994,1010,11,11,5,24,28.8,21.9,85,61,1.9,6.2,"西北西",10.9,"北西",1.2,0,0,"曇時々雨、雷を伴う","曇後一時雨、雷を伴う","47407","47407_2022_7"
2022-07-14,992.1,1008.1,0.5,0.5,0.5,23.2,28.9,19.9,79,58,2.1,6.4,"西",8.7,"西",2.9,0,0,"曇後晴一時雨","曇後時々晴","47407","47407_2022_7"
2022-07-15,991.4,1007.5,0,0,0,22.4,28.1,17.6,67,46,4.1,8.2,"南南東",11.7,"南南東",9.3,0,0,"晴後時々曇","曇","47407","47407_2022_7"
2022-07-16,992.9,1009.1,0,0,0,21.1,25.3,17.6,71,56,3.9,6.8,"南南東",9.8,"南南東",4.6,0,0,"曇時々晴後雨","曇一時雨","47407","47407_2022_7"
2022-07-17,986.5,1002.6,20.5,9.5,2,20.1,25.4,17.6,84,59,2.1,6.1,"北",8.2,"北北西",2.9,0,0,"曇時々晴後雨","雨後時々曇","47407","47407_2022_7"
2022-07-18,985.7,1001.8,2,1.5,0.5,20.4,23.7,17.4,88,71,3.1,7.7,"西",10,"西北西",3.5,0,0,"雨後曇時々晴","曇時々晴","47407","47407_2022_7"
2022-07-19,987,1003.1,25,14,8.5,21.6,28.1,16.3,88,60,1.6,4.7,"南南西",7.9,"南南西",3.9,0,0,"曇時々晴後雨、雷を伴う","雨時々曇、雷を伴う","47407","47407_2022_7"
2022-07-20,987.3,1003.4,18,8,4.5,20.4,25.5,15.4,83,64,2.9,6.7,"北",8.6,"北",2.3,0,0,"雨後曇時々晴","曇時々晴","47407","47407_2022_7"
2022-07-21,989.3,1005.5,0,0,0,20.1,27,13.8,73,53,2.9,5.6,"北北西",8,"北",9.2,0,0,"晴一時曇","晴","47407","47407_2022_7"
2022-07-22,989.3,1005.4,0,0,0,21.3,28,15.4,70,45,2.3,6.9,"北",9.1,"北",10.4,0,0,"晴後時々曇","曇後時々雨","47407","47407_2022_7"
2022-07-23,988.3,1004.5,3,1.5,1,18.4,22.3,15.5,86,72,2.6,5.3,"北",7.9,"北西",0.2,0,0,"曇時々雨","雨時々曇","47407","47407_2022_7"
2022-07-24,990.6,1006.9,1,0.5,0.5,18.3,21,15.9,92,82,2.2,4.6,"西南西",6.5,"西南西",0,0,0,"雨時々曇","曇後一時雨一時晴","47407","47407_2022_7"
2022-07-25,994.4,1010.6,0,0,0,21.5,26.3,17.7,79,57,2.1,4.9,"西",7.8,"西",8.1,0,0,"晴時々曇","晴後時々曇","47407","47407_2022_7"
2022-07-26,994.7,1010.8,0,0,0,23,29.8,17.3,79,56,2.3,6.7,"西",8.9,"西",9,0,0,"曇一時雨後晴","曇時々晴","47407","47407_2022_7"
2022-07-27,995.7,1011.7,0,0,0,24,29.9,19.8,77,45,2.7,6.9,"西",9.4,"西南西",8.1,0,0,"曇後晴","晴後曇一時雨","47407","47407_2022_7"
2022-07-28,998.4,1014.5,0,0,0,22.8,27.9,19.9,80,60,3,6.7,"西",9,"西",6.1,0,0,"曇一時雨後晴","曇時々晴","47407","47407_2022_7"
2022-07-29,1000,1016.1,0,0,0,23.5,28.6,19.2,79,49,2.3,5.2,"西",7.2,"西北西",7.3,0,0,"曇時々晴","曇時々晴","47407","47407_2022_7"
2022-07-30,996.6,1012.6,0,0,0,24.9,32,19.1,77,42,2.6,6.9,"西",9.4,"西南西",10.4,0,0,"晴一時曇","晴後時々曇","47407","47407_2022_7"
2022-07-31,993.9,1009.9,0,0,0,24.2,28.5,21,80,62,2.8,7.1,"西",9.5,"西北西",1.5,0,0,"曇時々雨","曇","47407","47407_2022_7"
2022-07-01,1013.8,1014.9,0,0,0,19.4,22.5,17,88,74,1.6,4.1,"北",5.3,"北",6,0,0,NA,NA,"47404","47404_2022_7"
2022-07-02,1010.9,1012,0.5,0.5,0.5,19.6,21.8,18,94,82,2.5,4.6,"南西",7.1,"南西",0,0,0,NA,NA,"47404","47404_2022_7"
2022-07-03,1006.5,1007.6,0,0,0,21.5,23.9,19,89,79,3.8,7.6,"南西",12.1,"南西",0.7,0,0,NA,NA,"47404","47404_2022_7"
2022-07-04,1005.8,1006.9,0.5,0.5,0.5,22.6,27.8,20.1,84,59,2.9,5.8,"南西",9.7,"南",7.5,0,0,NA,NA,"47404","47404_2022_7"
2022-07-05,1008.3,1009.4,0.5,0.5,0.5,20.8,24.1,18.6,95,81,2,4.1,"北",6.3,"北",6.1,0,0,NA,NA,"47404","47404_2022_7"
2022-07-06,1011.1,1012.2,0,0,0,21.4,24.2,17.5,92,83,2.1,4.8,"北",6,"北",11.9,0,0,NA,NA,"47404","47404_2022_7"
2022-07-07,1012.5,1013.6,0,0,0,22.8,26.2,18.9,87,69,2.2,4.4,"北",5.9,"北",9.6,0,0,NA,NA,"47404","47404_2022_7"
2022-07-08,1009.7,1010.8,0,0,0,23.7,30,19.4,78,50,3.2,6.3,"南",10.8,"南南西",12.3,0,0,NA,NA,"47404","47404_2022_7"
2022-07-09,1007.4,1008.5,0,0,0,23.2,27.4,19.1,84,72,2.2,4.2,"北",5.6,"北",9.4,0,0,NA,NA,"47404","47404_2022_7"
2022-07-10,1005.6,1006.7,1,1,1,24.2,28,21.5,85,69,2.1,3.7,"南南西",5,"南南西",8.4,0,0,NA,NA,"47404","47404_2022_7"
2022-07-11,1008.7,1009.8,0,0,0,23,25,21.8,90,80,2.5,6.2,"南西",7.9,"西南西",6.3,0,0,NA,NA,"47404","47404_2022_7"
2022-07-12,1009.5,1010.6,0,0,0,24.7,29.8,20.6,82,62,2.4,4.1,"北",6.1,"北北東",4.9,0,0,NA,NA,"47404","47404_2022_7"
2022-07-13,1009.2,1010.3,5.5,2.5,1,23.1,25.6,21.3,94,83,2,3.8,"北西",5.3,"北北西",1.9,0,0,NA,NA,"47404","47404_2022_7"
2022-07-14,1006.9,1008,0,0,0,24,27.7,21.1,82,67,2.8,5.3,"北",7.2,"西北西",10.7,0,0,NA,NA,"47404","47404_2022_7"
2022-07-15,1006.1,1007.2,0,0,0,23.7,28.8,19.5,74,51,2.9,5.8,"北",7.4,"北",11.1,0,0,NA,NA,"47404","47404_2022_7"
2022-07-16,1007.7,1008.8,0,0,0,21.7,24.9,18.4,84,64,2.1,4,"東南東",5.6,"北西",4.5,0,0,NA,NA,"47404","47404_2022_7"
2022-07-17,1001.4,1002.5,9.5,2.5,1,21.6,28.6,17.7,84,53,2.5,5.4,"東南東",7.8,"南東",5.9,0,0,NA,NA,"47404","47404_2022_7"
2022-07-18,1001.2,1002.3,3.5,2.5,1.5,18.7,21.1,15.4,89,74,2.7,4.8,"西",7.7,"西",2.3,0,0,NA,NA,"47404","47404_2022_7"
2022-07-19,1002.1,1003.2,0,0,0,20.7,25,14.6,85,69,2.5,4.2,"北",6.3,"北",9.9,0,0,NA,NA,"47404","47404_2022_7"
2022-07-20,1002.3,1003.4,23,15.5,5,21.7,25.7,16.8,84,66,2.3,6.2,"北",8.5,"北",4.4,0,0,NA,NA,"47404","47404_2022_7"
2022-07-21,1004.6,1005.7,0,0,0,19.8,23.8,14.6,80,63,3.4,7.9,"北",10.5,"北",14.5,0,0,NA,NA,"47404","47404_2022_7"
2022-07-22,1004.6,1005.7,0,0,0,19.7,24.8,14.2,82,70,3.1,6.9,"北",8.9,"北",14.4,0,0,NA,NA,"47404","47404_2022_7"
2022-07-23,1003.4,1004.5,1,0.5,0.5,19.3,24.7,17.4,87,67,2.3,5.4,"南東",8.3,"南東",1.1,0,0,NA,NA,"47404","47404_2022_7"
2022-07-24,1006,1007.1,0,0,0,18.8,21,17.7,90,78,2.3,4.9,"北",7,"北",0.4,0,0,NA,NA,"47404","47404_2022_7"
2022-07-25,1010.1,1011.2,1.5,1,0.5,19.4,22,17.4,92,78,1.9,3.9,"西",5.5,"北西",3.9,0,0,NA,NA,"47404","47404_2022_7"
2022-07-26,1010.5,1011.6,0,0,0,20.7,24.8,17.2,87,70,2.3,5.1,"南西",6.6,"南西",10.9,0,0,NA,NA,"47404","47404_2022_7"
2022-07-27,1011.6,1012.7,0,0,0,22.1,25.9,18.5,84,69,2.3,4,"西",5.5,"西",11.1,0,0,NA,NA,"47404","47404_2022_7"
2022-07-28,1014.2,1015.3,0,0,0,21.4,24.8,18.6,88,76,2.2,4.6,"北西",6.2,"北西",5.8,0,0,NA,NA,"47404","47404_2022_7"
2022-07-29,1015.6,1016.7,0,0,0,22.3,25.6,18.8,86,69,2.4,4.1,"西南西",6,"西南西",2.1,0,0,NA,NA,"47404","47404_2022_7"
2022-07-30,1011.8,1012.9,0,0,0,23.4,26.8,19.7,86,73,4.4,7.9,"南西",12.2,"南西",9.2,0,0,NA,NA,"47404","47404_2022_7"
2022-07-31,1008.8,1009.9,0,0,0,23.5,26.1,20.3,89,78,4.3,9,"南西",14.4,"南西",4.4,0,0,NA,NA,"47404","47404_2022_7"
2022-07-01,1011.8,1014.8,0,0,0,19.3,23,17.3,86,76,2.3,5,"東南東",7,"東南東",6.8,0,0,NA,NA,"47406","47406_2022_7"
2022-07-02,1009.4,1012.3,0,0,0,19.1,21.9,17.4,90,77,3.1,6.9,"東南東",10,"南東",0.1,0,0,NA,NA,"47406","47406_2022_7"
2022-07-03,1004.5,1007.4,0,0,0,21.5,25.1,17.9,85,69,3.6,9.4,"西",13.9,"西",11.7,0,0,NA,NA,"47406","47406_2022_7"
2022-07-04,1003.9,1006.8,1,1,1,21.8,29.2,18.7,86,48,3.2,7.6,"東南東",10.1,"東南東",6.3,0,0,NA,NA,"47406","47406_2022_7"
2022-07-05,1006.3,1009.2,0,0,0,21,23.6,19.2,92,81,1.9,4,"北西",5.4,"北北西",7.8,0,0,NA,NA,"47406","47406_2022_7"
2022-07-06,1009.2,1012.1,0,0,0,21.5,24.2,19.7,92,80,1.9,3.6,"北西",4.9,"西南西",3.5,0,0,NA,NA,"47406","47406_2022_7"
2022-07-07,1010.6,1013.5,0,0,0,22.8,25.6,20,83,71,2.5,6.2,"東南東",8.5,"東南東",11.1,0,0,NA,NA,"47406","47406_2022_7"
2022-07-08,1007.7,1010.6,0,0,0,22.8,29.7,18.5,76,48,5.4,8.5,"東南東",12.6,"東南東",12.8,0,0,NA,NA,"47406","47406_2022_7"
2022-07-09,1005.4,1008.3,0,0,0,22.3,27.2,17.8,79,52,4.5,9.9,"東南東",13.3,"東南東",6.6,0,0,NA,NA,"47406","47406_2022_7"
2022-07-10,1003.8,1006.7,0,0,0,23.5,27.6,20.7,81,61,3.2,7.4,"東南東",10,"東南東",7.1,0,0,NA,NA,"47406","47406_2022_7"
2022-07-11,1006.9,1009.8,0,0,0,22.4,24.5,21.5,89,79,2.5,6.4,"東南東",9,"東南東",3.3,0,0,NA,NA,"47406","47406_2022_7"
2022-07-12,1007.5,1010.4,0,0,0,24.2,29.1,21.4,81,63,4,7.7,"東南東",10.6,"東南東",2.7,0,0,NA,NA,"47406","47406_2022_7"
2022-07-13,1007.3,1010.2,17.5,13,6.5,23,25.7,21.5,91,77,2.6,6.7,"東南東",8.9,"東南東",1.6,0,0,NA,NA,"47406","47406_2022_7"
2022-07-14,1005.1,1008,0,0,0,23.1,28.6,19.4,80,59,4.2,7.3,"東南東",10.2,"東南東",7.1,0,0,NA,NA,"47406","47406_2022_7"
2022-07-15,1004.1,1007,0,0,0,22.4,28.1,17.7,74,49,4.1,7.3,"東南東",10.1,"東南東",7.7,0,0,NA,NA,"47406","47406_2022_7"
2022-07-16,1005.7,1008.6,0,0,0,21,25.3,18.6,77,59,4.2,8.9,"東南東",12.3,"東南東",0.8,0,0,NA,NA,"47406","47406_2022_7"
2022-07-17,999.4,1002.3,27,7.5,2,21.5,28.2,18.8,79,50,3.2,6.7,"東南東",11.6,"東南東",5.3,0,0,NA,NA,"47406","47406_2022_7"
2022-07-18,999.4,1002.4,2,1,0.5,19.1,21.9,16.2,85,70,3.2,4.9,"西北西",7.2,"西南西",2.6,0,0,NA,NA,"47406","47406_2022_7"
2022-07-19,1000.1,1003,0,0,0,20.6,24.7,15.1,84,65,2.9,6.2,"東南東",7.9,"東南東",8.1,0,0,NA,NA,"47406","47406_2022_7"
2022-07-20,1000.1,1003,0,0,0,22.1,24.9,19.5,84,75,2.9,4.9,"東南東",6.7,"南東",3.9,0,0,NA,NA,"47406","47406_2022_7"
2022-07-21,1002.5,1005.5,0,0,0,20.6,23.8,17.3,79,64,3.9,6.6,"東南東",8.3,"東南東",12.7,0,0,NA,NA,"47406","47406_2022_7"
2022-07-22,1002.5,1005.4,0,0,0,20.4,23.3,15.7,80,64,3.2,7.3,"東南東",9.9,"東南東",13.1,0,0,NA,NA,"47406","47406_2022_7"
2022-07-23,1001.1,1004,6,2.5,1,19.7,23.6,17.4,85,71,3.3,6.9,"東南東",9.7,"東南東",1.5,0,0,NA,NA,"47406","47406_2022_7"
2022-07-24,1004.2,1007.1,0,0,0,19.1,19.9,17.8,88,82,2.9,5.3,"北西",7.2,"北西",0,0,0,NA,NA,"47406","47406_2022_7"
2022-07-25,1008.3,1011.2,1.5,1,0.5,19.6,22.3,16.9,87,74,2.2,3.9,"西南西",5.5,"西南西",2.9,0,0,NA,NA,"47406","47406_2022_7"
2022-07-26,1008.5,1011.5,0,0,0,20.4,24.5,15.9,86,73,2.6,4.8,"東南東",6.8,"南東",13.1,0,0,NA,NA,"47406","47406_2022_7"
